trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-47.16336532581633,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.25}",20,0,-100.72382856291047,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.1111111111111111}",25,4,-93.93986632561614,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 2}",1
4,False,"{'a': 0.8, 'e': 0.0625}",25,13,-25.265974249228172,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.04}",25,0,8.632218346833742,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.027777777777777776}",20,0,-34.278500038600114,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.02040816326530612}",20,0,-79.90397081703307,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.015625}",35,5,-46.29227293314308,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",1
9,False,"{'a': 0.8, 'e': 0.012345679012345678}",30,8,-42.825008689154274,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.8, 'e': 0.01}",20,0,-14.434595543371358,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.008264462809917356}",20,0,1.0641885031682463,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.006944444444444444}",30,0,-77.74091897455912,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.005917159763313609}",25,0,34.81951765971582,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.00510204081632653}",20,2,9.194290531688779,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.0044444444444444444}",20,12,-28.22370146410266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.00390625}",25,0,25.229582852001457,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.0034602076124567475}",25,0,22.002197832196025,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.0030864197530864196}",25,9,-51.63031210425268,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
