trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.23598792539431,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.08686561430234,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.91027773343508,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-52.24332279378609,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.0780308381902,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,-107.57326267368316,"{0: 6, 1: 4, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.5438423731198,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-244.07589966971057,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.49566744600307,"{0: 11, 1: 7, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.25920991245415,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-37.40459828764515,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.57070240727788,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.32738000492944,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.447252188778904,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.30343989463869,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.25330034506746,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.68916081093602,"{0: 6, 1: 6, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.12118384554061,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.59646311822162,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.08712468990716,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.52029640510893,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.66530709528799,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,11,-130.13069602213042,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.09852161368852,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-57.51400790083556,"{0: 26, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.04162191427254,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.4814163717602,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.49477652386474,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.30386332681627,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,8,-19.280957492903603,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
